Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
122,Josh Richardson,DAL,27,7,3,4,94,34,11,28,39.3,3,10,30,9,9,100,3,8,11,5,6,2,0,8,54.7,0,0,-58
125,Mike James,BKN,30,9,6,3,103,33,14,43,32.6,5,16,31.3,0,0,0,2,14,16,12,3,2,0,6,73.2,0,0,21
125,Wesley Matthews,LAL,34,6,2,4,110,33,10,33,30.3,7,25,28,6,6,100,5,5,10,2,0,2,0,13,54,0,0,-36
127,Grayson Allen,MEM,25,5,1,4,116,32,12,33,36.4,8,21,38.1,0,1,0,3,10,13,1,1,2,1,13,57.1,0,0,-55
127,Obi Toppin,NYK,23,5,1,4,65,32,12,23,52.2,3,9,33.3,5,6,83.3,4,9,13,2,3,0,1,6,50.6,0,0,4
127,Onyeka Okongwu,ATL,20,15,9,6,123,32,12,24,50,0,0,0,8,12,66.7,14,23,37,2,4,5,11,24,123.4,0,0,-15
127,Raul Neto,WAS,29,5,1,4,112,32,12,34,35.3,4,15,26.7,4,5,80,3,8,11,5,1,2,0,11,57.7,0,0,-28
131,De'Anthony Melton,MEM,23,5,1,4,83,31,11,31,35.5,6,20,30,3,5,60,4,12,16,5,3,1,4,7,69.7,0,0,-11
131,Kentavious Caldwell-Pope,LAL,28,5,2,3,146,31,11,29,37.9,4,19,21.1,5,5,100,2,12,14,5,2,5,0,15,68.3,0,0,-3
133,Nicolas Claxton,BKN,22,12,7,5,130,30,14,29,48.3,0,0,0,2,3,66.7,14,19,33,7,4,4,12,20,124.1,0,0,11
134,Immanuel Quickley,NYK,22,5,1,4,77,29,10,33,30.3,4,11,36.4,5,7,71.4,0,7,7,5,6,3,0,8,47.9,0,0,0
135,Desmond Bane,MEM,23,5,1,4,99,28,11,19,57.9,6,12,50,0,0,0,2,15,17,10,3,4,2,6,78.4,0,0,-22
